The Known World,Edward P. Jones,3.83,0061159174,9780061159176,eng,388,29686,2626,Amistad
The Known World,Edward P. Jones/Kevin R. Free,3.83,006076273X,9780060762735,en-US,14,55,12,HarperAudio
The Known World,Edward P. Jones,3.83,0060749911,9780060749910,eng,576,22,3,Harper
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,0273704745,9780273704744,eng,334,1456,82,FT Press
Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,9781932386103,eng,352,52,4,Archaia
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,0374517193,9780374517199,eng,416,562,37,Farrar  Straus and Giroux
Uncommon Carriers,John McPhee,3.95,0374280398,9780374280390,en-US,248,1630,203,Farrar Straus Giroux
Heirs of General Practice,John McPhee,4.17,0374519749,9780374519742,eng,128,268,22,Farrar  Straus and Giroux
The Control of Nature,John McPhee,4.24,0374522596,9780374522599,en-US,288,3498,305,Farrar Straus and Giroux
Annals of the Former World,John McPhee,4.34,0374518734,9780374518738,eng,720,3115,228,Farrar Straus and Giroux
Coming Into the Country,John McPhee,4.22,0374522871,9780374522872,eng,448,5704,261,Farrar Straus and Giroux
